	36	error 36	41	error 41	47	error 47	54	error 54	62	error 62	71	error 71	82	error 82	94	error 94	108	error 108	124	error 124	143	error 143	164	error 164	190	error 190	218	error 218	250	error 250	288	error 288	331	error 331	380	error 380	438	error 438	504	error 504	580	error 580	666	error 666	766	error 766	880	error 880	1013	error 1013
1.187301014355089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.588368992858759e-05	0.0	0.0	0.0	0.0006247060699804152	0.0001822610099866741	0.00036625036744945686	0.0004385231601200429	0.00011012248520930156	7.0313734378303e-05	0.0009380006963953836	0.0015968756726052323	0.00036869677674367384	0.0007983122033133123	0.0004986334094563364	0.00020707535973314635	0.0006915980946219421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2009683476587762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.950227749194307e-05	0.0	0.0	0.0	0.0006659534069650646	0.00019197075657592723	0.00038227324767688186	0.00045967067485852407	0.00011786374808054313	7.480822078044688e-05	0.000994707204833523	0.0017030044690652015	0.0003887237397402232	0.0008386978947717273	0.0005333055458254489	0.00022214133744212584	0.000718693370410074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2147930092198942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3192564427681224e-05	0.0	0.0	0.0	0.0007060717362906554	0.00019995260722683485	0.0003967056351370939	0.0004789561017149969	0.00012563659284442415	7.92437631329097e-05	0.0010505252927672229	0.0018093114260400991	0.00040706389724858765	0.0008745597384687561	0.0005680542446178347	0.000237414386795116	0.0007397417919438116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2287768100852676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6954613858823084e-05	0.0	0.0	0.0	0.0007448126380184986	0.00020587875325383734	0.00041011093476436285	0.0004964125523793527	0.00013343673215373254	8.361289395415098e-05	0.0011062820812953792	0.001916252231837937	0.0004234626284147814	0.0009052364493269872	0.0006028560235326223	0.000252905626266627	0.0007539091323221295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2429215821491566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.07884210564356e-05	0.0	0.0	0.0	0.000781912454593374	0.00020940121419008495	0.0004223533100915505	0.0005117037527196478	0.000141259605682091	8.790784739847163e-05	0.0011619382456686449	0.0020237286845877916	0.00043765026977101855	0.0009300297174381633	0.0006376859756332401	0.000268626827767319	0.0007603122898664873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2572291783932361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.469390929152966e-05	0.0	0.0	0.0	0.0008170915868552797	0.0002101509021088433	0.00043328912248599726	0.0005244882336088734	0.0001491003677536147	9.212056513949974e-05	0.0012174523344701124	0.0021316482364763774	0.0004493414287878434	0.0009482033387829422	0.000672517705602802	0.0002845904556745256	0.0007605541881567405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2717014731293395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.867092549909532e-05	0.0	0.0	0.0	0.0008500537612552545	0.00020773664757471846	0.00044279758768783035	0.000534481197771138	0.00015695387447502008	9.624270574570561e-05	0.0012727806791340372	0.0022399218950523037	0.0004582342695052648	0.0009589827074183045	0.0007073232634492247	0.00030080970828683416	0.0007603869034147775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2863403622449943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.27192357466962e-05	0.0	0.0	0.0	0.0008804852671693859	0.00020174418574885855	0.0004517235152367698	0.0005433957398009086	0.00016481467035129213	0.00010026565829117769	0.0013278772999432058	0.002348462626691755	0.00046402841382672436	0.0009616036687412265	0.0007420730755635035	0.00031729856182196393	0.0007600844516222129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3011477634517874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.683852049975709e-05	0.0	0.0	0.0	0.0009080541631641485	0.00019173510111752883	0.0004605048754087	0.0005521318914615459	0.000172676974365322	0.00010418056109860361	0.0013826938083737706	0.0024571841186089164	0.00046847727598766514	0.0009606743456159462	0.0007767358730310202	0.00033407181707713346	0.0007596458457798617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3161256165365858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.10283696753782e-05	0.0	0.0	0.0	0.0009324094510237435	0.00017724572925675302	0.0004691382819769765	0.0005606871841247724	0.0001805346655012061	0.00010797832669906692	0.0014371793056515614	0.002565999800269705	0.00047289717578845834	0.0009596446624566447	0.0008112786170920848	0.00035114514887021653	0.0007590702283511101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
