time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	
ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	
3.tdms	 3.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	
40.956	114.89	34.941	75.292	41.143	51.767	41.055	127.19	40.998	193.12	40.756	104.25	34.889	71.566	34.945	115.54	41.2	109.86	41.156	56.778	40.996	98.411	41.246	132.46	34.802	137.94	41.081	233.38	34.885	114.58	40.885	93.848	40.788	87.394	34.994	278.37	41.149	297.69	34.8	211.05	34.99	64.428	41.269	27.394	34.891	53.388	41.115	140.06	41.04	70.839	34.974	95.085	41.147	171.35	41.2	130.95	41.2	207.08	41.16	560.79	41.137	80.827	41.014	124.16	41.002	56.092	40.937	157.99	34.929	126.71
48.556	94.935	40.941	52.981	48.343	55.685	48.255	104.69	48.198	185.31	47.956	90.522	40.889	19.519	40.945	65.271	48.4	64.971	48.356	56.014	48.196	113.86	48.446	191.04	40.802	118.87	48.281	255.87	40.885	67.82	48.485	69.696	47.988	46.266	40.994	258.23	48.349	390.85	40.8	202.09	40.99	107.62	48.469	19.145	40.891	43.554	48.315	126.37	48.24	55.005	40.974	129.47	48.347	82.6	48.4	158.11	48.4	286.91	48.36	361.01	48.337	58.665	48.214	89.361	48.202	46.718	48.537	177.89	40.929	133.87
56.956	88.915	48.141	68.481	56.743	55.007	56.655	120.02	56.598	108.09	56.756	73.45	48.089	21.073	48.145	59.899	56.8	114.75	56.756	50.518	56.596	104.99	56.846	244.7	48.002	135.33	56.681	277.49	48.085	53.799	56.885	62.273	56.788	78.71	48.194	225.4	56.749	344.27	48	114.99	48.19	124.69	56.869	16.1	48.091	53.941	56.715	135.33	57.04	105.35	48.174	86.935	56.747	77.406	56.8	165.97	56.8	429.19	56.76	322.4	56.737	63.202	57.014	76.778	56.602	45.453	56.937	286.3	48.129	168.6
66.956	96.086	56.941	60.704	66.743	65.966	66.655	114.17	66.998	95.719	67.156	118.65	56.889	32.705	56.945	88.838	66.8	199.22	66.756	64.789	66.996	91.452	66.846	281.61	56.802	131.39	66.681	508.37	56.885	43.578	66.885	54.002	66.788	61.484	56.994	214.13	66.749	289.84	56.8	110.39	56.99	39.118	66.869	17.204	56.891	41.392	66.715	133.48	67.04	226.58	56.974	89.574	66.747	97.608	66.8	228.22	66.8	400.87	66.76	364.93	66.737	77.39	67.014	69.005	67.002	44.344	66.937	478.16	56.929	167.43
78.956	122.85	66.941	34.097	78.743	54.133	78.655	150.01	78.998	97.754	79.156	79.722	66.889	24.575	66.945	88.104	78.8	213.22	78.756	101.39	78.996	102.4	78.846	293.13	66.802	143	78.681	936.49	66.885	36.583	78.885	54.262	78.788	69.252	66.994	167.37	78.749	205.63	66.8	85.686	66.99	29.644	78.869	35.139	66.891	63.462	78.715	116.72	78.64	465.8	66.974	67.424	78.747	105.03	78.8	212.67	78.8	488.9	78.76	403.22	78.737	61.917	78.614	74.442	79.002	36.116	78.937	728.71	66.929	168.12
92.956	124.02	78.541	40.586	92.743	47.503	92.655	189.56	92.998	143	93.156	87.711	78.489	29.414	78.545	68.878	92.8	194.92	92.756	124.26	92.996	181.43	92.846	467.24	78.802	172.65	92.681	1370.9	78.485	43.074	92.885	64.658	93.188	100.25	78.594	161.09	92.749	214.21	78.8	132.71	78.59	47.697	92.869	44.774	78.491	70.186	92.715	188	92.64	454.81	78.574	91.021	92.747	104.37	92.8	246.54	92.8	524.64	92.76	466.08	92.737	87.991	92.614	107.2	93.002	117.68	92.937	707.58	78.529	228.35
109.36	161.85	92.541	64.346	109.14	85.203	109.45	189.34	109.4	175.1	109.56	157.92	92.489	27.657	92.545	84.82	109.2	220.24	109.16	189.15	109.4	198.39	109.25	520.64	92.802	167.19	109.08	1431.2	92.485	80.279	109.28	125.02	109.59	118.84	92.594	217.17	109.15	221.8	92.8	174.26	92.59	54.074	109.27	68.781	92.491	69.714	109.12	201.79	109.44	564.12	92.574	90.556	109.15	159.69	109.2	327	109.2	389.73	109.16	561.27	109.14	165.72	109.41	169.62	109.4	152.51	109.34	832.87	92.529	231.73
128.56	162.55	109.34	97.589	128.74	117.79	129.05	235.07	128.6	222.09	128.76	181.56	109.29	26.196	109.35	138.74	128.8	214.2	128.76	188.07	128.6	233.67	128.85	513.05	109.2	205.62	128.68	1384.7	109.28	100.39	128.88	253.18	128.79	153.15	109.39	290.47	128.75	254.18	109.2	204.43	109.39	93.399	128.87	133.14	109.29	98.403	128.72	255.01	129.04	569.51	109.37	96.163	128.75	166.16	128.8	360.1	128.8	358.26	128.76	703.47	128.74	150.23	129.01	232.16	128.6	257.89	128.94	623.05	109.33	289.57
151.76	182.73	128.94	113.3	151.94	142.6	151.85	244.89	151.4	258.88	151.56	195.09	128.89	53.916	128.95	169.98	152	246.39	151.96	234.05	151.4	264.38	152.05	461.11	128.8	285.96	151.88	1355.7	128.88	207.82	152.08	354.2	151.59	179.77	128.99	409.99	151.95	290.5	128.8	211.04	128.99	166.08	152.07	129.79	128.89	138.48	151.92	289.11	151.84	571.63	128.97	116.14	151.95	201.86	152	394.59	152	350.3	151.96	773.5	151.94	225.15	151.81	318.09	151.4	233.28	152.14	426.37	128.93	283.81
178.96	225.04	151.74	153.58	178.74	186.45	179.05	271.81	178.6	251.39	178.76	186.34	151.69	56.982	151.75	234.6	178.8	220.33	178.76	217.55	178.6	258.46	178.85	464.93	151.6	297.02	178.68	1455.1	151.68	227.79	178.88	468.38	178.79	245.95	151.79	456.72	178.75	288.37	151.6	218.26	151.79	203.3	178.87	155.43	151.69	184.46	178.72	259.96	179.04	610.74	151.77	161.71	178.75	216.7	178.8	404.64	178.8	399.8	178.76	713.54	178.74	247.72	179.01	361.82	178.6	273.57	178.94	331.64	151.73	320.16
